iter	Passed	Remaining
456	824	979
457	825	977
458	827	974
459	828	972
460	830	970
461	831	968
462	832	966
463	834	964
464	835	961
465	837	959
466	838	957
467	840	955
468	841	952
469	842	950
470	844	948
471	846	946
472	847	944
473	848	941
474	850	940
475	851	937
476	853	935
477	854	933
478	856	931
479	857	928
480	858	926
481	859	924
482	861	922
483	863	920
484	864	917
485	865	915
486	867	913
487	868	911
488	869	909
489	871	906
490	872	904
491	874	902
492	875	900
493	876	898
494	878	895
495	879	893
496	880	891
497	882	889
498	883	887
499	884	884
500	886	882
501	887	880
502	888	878
503	890	876
504	891	873
505	892	871
506	894	869
507	895	867
508	896	864
509	897	862
510	899	860
511	900	858
512	901	856
513	903	853
514	904	851
515	906	849
516	907	847
517	909	845
518	910	843
519	911	841
520	913	839
521	914	837
522	915	835
523	917	833
524	918	830
525	919	828
526	921	826
527	922	824
528	923	822
529	924	819
530	926	817
531	927	815
532	928	813
533	930	811
534	931	809
535	932	807
536	934	805
537	935	803
538	936	801
539	937	799
540	939	796
541	940	794
542	941	792
543	943	790
544	944	788
545	945	786
546	946	783
547	948	782
548	949	779
549	950	777
550	951	775
551	953	773
552	954	771
553	955	769
554	957	767
555	958	765
556	959	763
557	960	761
558	962	759
559	963	757
560	965	755
561	966	753
562	967	751
563	969	749
564	970	747
565	971	745
566	973	743
567	974	741
568	975	739
569	976	736
570	978	734
571	979	732
572	980	730
573	981	728
574	983	726
575	984	724
576	985	722
577	987	720
578	988	718
579	989	716
580	990	714
581	992	712
582	993	710
583	994	708
584	996	706
585	997	704
586	998	702
587	999	700
588	1001	698
589	1002	696
590	1003	694
591	1004	692
592	1006	690
593	1007	688
594	1008	686
595	1010	684
596	1011	682
597	1012	680
598	1013	678
599	1015	676
600	1016	674
601	1017	672
602	1019	670
603	1020	669
604	1022	667
605	1023	665
606	1024	663
607	1026	661
608	1027	659
609	1028	657
610	1029	655
611	1031	653
612	1032	651
613	1034	650
614	1035	648
615	1036	646
616	1038	644
617	1039	642
618	1041	640
619	1042	638
620	1043	636
621	1045	635
622	1046	633
623	1047	631
624	1048	629
625	1050	627
626	1051	625
627	1052	623
628	1053	621
629	1054	619
630	1056	617
631	1057	615
632	1058	613
633	1059	611
634	1061	610
635	1062	608
636	1063	606
637	1065	604
638	1066	602
639	1068	600
640	1069	598
641	1070	596
642	1071	595
643	1073	593
644	1074	591
645	1075	589
646	1076	587
647	1078	585
648	1079	583
649	1080	581
650	1082	580
651	1083	578
652	1084	576
653	1085	574
654	1087	572
655	1088	570
656	1089	568
657	1091	567
658	1092	565
659	1094	563
660	1095	561
661	1096	559
662	1097	558
663	1099	556
664	1100	554
665	1101	552
666	1102	550
667	1104	548
668	1105	547
669	1106	545
670	1107	543
671	1109	541
672	1110	539
673	1112	537
674	1113	535
675	1114	534
676	1116	532
677	1117	530
678	1118	528
679	1119	526
680	1120	525
681	1122	523
682	1123	521
683	1124	519
684	1125	517
685	1127	515
686	1128	514
687	1129	512
688	1131	510
689	1132	508
690	1133	507
691	1135	505
692	1136	503
693	1137	501
694	1139	499
695	1140	498
696	1141	496
697	1143	494
698	1144	492
699	1145	491
700	1147	489
701	1148	487
702	1149	485
703	1151	483
704	1152	482
705	1153	480
706	1154	478
707	1155	476
708	1157	474
709	1158	473
710	1159	471
711	1161	469
712	1162	467
713	1163	466
714	1165	464
715	1166	462
716	1167	460
717	1168	459
718	1170	457
719	1171	455
720	1172	453
721	1173	452
722	1175	450
723	1176	448
724	1177	446
725	1179	445
726	1180	443
727	1182	441
728	1183	439
729	1184	438
730	1185	436
731	1187	434
732	1188	432
733	1189	431
734	1190	429
735	1192	427
736	1193	425
737	1194	424
738	1195	422
739	1197	420
740	1198	419
741	1199	417
742	1201	415
743	1202	413
744	1204	412
745	1205	410
746	1206	408
747	1207	406
748	1209	405
749	1210	403
750	1211	401
751	1212	399
752	1214	398
753	1215	396
754	1216	394
755	1218	393
756	1220	391
757	1221	389
758	1222	388
759	1224	386
760	1225	384
761	1226	383
762	1228	381
763	1229	379
764	1231	378
765	1232	376
766	1233	374
767	1234	372
768	1236	371
769	1237	369
770	1238	367
771	1239	366
772	1241	364
773	1242	362
774	1244	361
775	1245	359
776	1246	357
777	1248	356
778	1249	354
779	1250	352
780	1251	350
781	1253	349
782	1254	347
783	1255	345
784	1256	344
785	1258	342
786	1259	340
787	1260	339
788	1261	337
789	1263	335
790	1264	334
791	1266	332
792	1267	330
793	1268	329
794	1270	327
795	1271	325
796	1272	324
797	1273	322
798	1275	320
799	1276	319
800	1277	317
801	1278	315
802	1280	314
803	1281	312
804	1282	310
805	1284	309
806	1285	307
807	1286	305
808	1288	304
809	1289	302
810	1290	300
811	1292	299
812	1293	297
813	1294	295
814	1295	294
815	1297	292
816	1298	290
817	1299	289
818	1300	287
819	1302	285
820	1303	284
821	1305	282
822	1306	280
823	1307	279
824	1309	277
825	1310	275
826	1311	274
827	1312	272
828	1314	271
829	1315	269
830	1316	267
831	1318	266
832	1319	264
833	1320	262
834	1322	261
835	1323	259
836	1324	257
837	1325	256
838	1327	254
839	1328	253
840	1330	251
841	1331	249
842	1333	248
843	1334	246
844	1335	244
845	1337	243
846	1338	241
847	1339	240
848	1340	238
849	1342	236
850	1343	235
851	1344	233
852	1345	231
853	1347	230
854	1348	228
855	1349	227
856	1350	225
857	1352	223
858	1353	222
859	1354	220
860	1355	218
861	1357	217
862	1359	215
863	1360	214
864	1361	212
865	1362	210
866	1364	209
867	1365	207
868	1366	205
869	1367	204
870	1369	202
871	1370	201
872	1371	199
873	1373	197
874	1374	196
875	1375	194
876	1376	193
877	1378	191
878	1379	189
879	1380	188
880	1381	186
881	1383	185
882	1384	183
883	1386	181
884	1387	180
885	1388	178
886	1389	177
887	1391	175
888	1392	173
889	1393	172
890	1394	170
891	1396	169
892	1397	167
893	1398	165
894	1400	164
895	1401	162
896	1402	161
897	1403	159
898	1405	157
899	1406	156
900	1408	154
901	1409	153
902	1410	151
903	1411	149
904	1413	148
905	1414	146
906	1415	145
907	1416	143
908	1418	141
909	1419	140
910	1420	138
911	1421	137
912	1423	135
913	1424	134
914	1425	132
915	1426	130
916	1427	129
917	1429	127
918	1430	126
919	1431	124
920	1433	122
921	1434	121
922	1435	119
923	1437	118
924	1438	116
925	1440	115
926	1441	113
927	1442	111
928	1444	110
929	1445	108
930	1447	107
931	1448	105
932	1449	104
933	1451	102
934	1452	100
935	1453	99
936	1454	97
937	1455	96
938	1457	94
939	1458	93
940	1459	91
941	1460	89
942	1462	88
943	1463	86
944	1464	85
945	1465	83
946	1467	82
947	1468	80
948	1469	78
949	1471	77
950	1472	75
951	1473	74
952	1474	72
953	1476	71
954	1477	69
955	1478	68
956	1480	66
957	1481	64
958	1482	63
959	1484	61
960	1485	60
961	1486	58
962	1487	57
963	1489	55
964	1490	54
965	1491	52
966	1492	50
967	1494	49
968	1495	47
969	1496	46
970	1498	44
971	1499	43
972	1501	41
973	1502	40
974	1503	38
975	1504	37
976	1506	35
977	1507	33
978	1508	32
979	1509	30
980	1511	29
981	1512	27
982	1513	26
983	1515	24
984	1516	23
985	1517	21
986	1519	20
987	1520	18
988	1522	16
989	1523	15
990	1524	13
991	1526	12
992	1527	10
993	1528	9
994	1529	7
995	1531	6
996	1532	4
997	1534	3
998	1535	1
999	1536	0
